#Note: This mapping table is made by me. 1 character is not in Unicode- PUA mapping included.

0x00	0x0000	#NULL
0xbd	0xfe9b	#ARABIC LETTER THEH INITIAL FORM
0xbe	0xfe9d	#ARABIC LETTER JEEM ISOLATED FOR
0xbf	0xfe9f	#ARABIC LETTER JEEM INITIAL FORM
0xc0	0xfb7a	#ARABIC LETTER TCHEH ISOLATED FORM
0xc1	0xfb7c	#ARABIC LETTER TCHEH INITIAL FORM
0xc2	0xfea1	#ARABIC LETTER HAH ISOLATED FORM
0xc3	0xfea3	#ARABIC LETTER HAH INITIAL FORM
0xc4	0xfea5	#ARABIC LETTER KHAH ISOLATED FORM
0xc5	0xfea7	#ARABIC LETTER KHAH INITIAL FORM
0xc6	0xfea9	#ARABIC LETTER DAL ISOLATED FORM
0xc7	0xfb88	#ARABIC LETTER DDAL ISOLATED FORM
0xc8	0xfeab	#ARABIC LETTER THAL ISOLATED FORM
0xc9	0xfead	#ARABIC LETTER REH ISOLATED FORM
0xca	0xfb8c	#ARABIC LETTER RREH ISOLATED FORM
0xcb	0xfeaf	#ARABIC LETTER ZAIN ISOLATED FORM
0xcc	0xfb8a	#ARABIC LETTER JEH ISOLATED FORM
0xcd	0xfeb1	#ARABIC LETTER SEEN ISOLATED FORM
0xce	0xfeb3	#ARABIC LETTER SEEN INITIAL FORM
0xcf	0xfeb5	#ARABIC LETTER SHEEN ISOLATED FORM
0xd0	0xfeb7	#ARABIC LETTER SHEEN INITIAL FORM
0xd1	0xfeb9	#ARABIC LETTER SAD ISOLATED FORM
0xd2	0xfebb	#ARABIC LETTER SAD INITIAL FORM
0xd3	0xfebd	#ARABIC LETTER DAD ISOLATED FORM
0xd4	0xfebf	#ARABIC LETTER DAD INITIAL FORM
0xd5	0xfec1	#ARABIC LETTER TAH ISOLATED FORM
0xd6	0xfec5	#ARABIC LETTER ZAH ISOLATED FORM
0xd7	0xfec9	#ARABIC LETTER AIN ISOLATED FORM
0xd8	0xfeca	#ARABIC LETTER AIN FINAL FORM
0xd9	0xfecb	#ARABIC LETTER AIN INITIAL FORM
0xda	0xfecc	#ARABIC LETTER AIN MEDIAL FORM
0xdb	0xfecd	#ARABIC LETTER GHAIN ISOLATED FORM
0xdc	0xfece	#ARABIC LETTER GHAIN FINAL FORM
0xdd	0xfecf	#ARABIC LETTER GHAIN INITIAL FORM
0xde	0xfed0	#ARABIC LETTER GHAIN MEDIAL FORM
0xdf	0xfed1	#ARABIC LETTER FEH ISOLATED FORM
0xe0	0xfed3	#ARABIC LETTER FEH INITIAL FORM
0xe1	0xfed5	#ARABIC LETTER QAF ISOLATED FORM
0xe2	0xfed7	#ARABIC LETTER QAF INITIAL FORM
0xe3	0xfb8e	#ARABIC LETTER KEHEH ISOLATED FORM
0xe4	0xfedb	#ARABIC LETTER KAF INITIAL FORM
0xe5	0xfb92	#ARABIC LETTER GAF ISOLATED FORM
0xe6	0xfb94	#ARABIC LETTER GAF INITIAL FORM
0xe7	0xfedd	#ARABIC LETTER LAM ISOLATED FORM
0xe8	0xfedf	#ARABIC LETTER LAM INITIAL FORM
0xe9	0xfee0	#ARABIC LETTER LAM MEDIAL FORM
0xea	0xfee1	#ARABIC LETTER MEEM ISOLATED FORM
0xeb	0xfee3	#ARABIC LETTER MEEM INITIAL FORM
0xec	0xfb9e	#ARABIC LETTER NOON GHUNNA ISOLATED FORM
0xed	0xfee5	#ARABIC LETTER NOON ISOLATED FORM
0xee	0xfee7	#ARABIC LETTER NOON INITIAL FORM
0xef	0xfe85	#ARABIC LETTER WAW WITH HAMZA ABOVE ISOLATED FORM
0xf0	0xfeed	#ARABIC LETTER WAW ISOLATED FORM
0xf1	0xfba6	#ARABIC LETTER HEH GOAL ISOLATED FORM
0xf2	0xfba8	#ARABIC LETTER HEH GOAL INITIAL FORM
0xf3	0xfba9	#ARABIC LETTER HEH GOAL MEDIAL FORM
0xf4	0xfbaa	#ARABIC LETTER HEH DOACHASHMEE ISOLATED FORM
0xf5	0xfe80	#ARABIC LETTER HAMZA ISOLATED FORM
0xf6	0xfe89	#ARABIC LETTER YEH WITH HAMZA ABOVE ISOLATED FORM
0xf7	0xfe8a	#ARABIC LETTER YEH WITH HAMZA ABOVE FINAL FORM
0xf8	0xfe8b	#ARABIC LETTER YEH WITH HAMZA ABOVE INITIAL FORM
0xf9	0xfbfc	#ARABIC LETTER FARSI YEH ISOLATED FORM
0xfa	0xfbfd	#ARABIC LETTER FARSI YEH FINAL FORM
0xfb	0xfbfe	#ARABIC LETTER FARSI YEH INITIAL FORM
0xfc	0xfbb0	#ARABIC LETTER YEH BARREE WITH HAMZA ABOVE ISOLATED FORM
0xfd	0xfbae	#ARABIC LETTER YEH BARREE ISOLATED FORM
0xfe	0x0651	#ARABIC SHADDAH
0xff	0xfe7d	#ARABIC SHADDA MEDIAL FORM
